Titulo,Financiador,Alcance,Descripcion,FechaDeApertura,FechaDeCierre,DuracionEnMeses,Beneficios,Requisitos,MontoMinimo,MontoMaximo,Estado,TipoDeBeneficio,TipoDePerfil,EnlaceDelDetalle,EnlaceDeLaFoto
RED DE FOMENTO SOSTENIBLE – CONVOCATORIA 2025,CORFO,Disponible en los siguientes territorios,"Queremos que las Pymes puedan aumentar sus ingresos y/o mejoren su productividad, a través del acceso a servicios de extensionismo tecnológico que les permitan adoptar y utilizar tecnologías, mediante el cofinanciamiento de la operación de proyectos ""Red de Fomento Sostenible"" que entregarán servicios en dicho ámbito a Pymes del sector de la pesca y acuicultura.",14/08/2025,22/09/2025,6,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,,Hasta $900.000.000.-,Hasta $900.000.000.-,En evaluación,Cofinanciamiento,Pymes,https://corfo.cl/sites/cpp/convocatoria/red-fomento-sostenible-pesca-acuicultura-2025/,https://corfo.cl/sites/cpp/convocatoria/red-fomento-sostenible-pesca-acuicultura-2025/foto.jpg
Red Mercados,Corfo,Disponible en los siguientes territorios,"Red Mercados apoya a grupos de empresas a incorporar capacidades y conocimientos para acceder, directa o indirectamente a mercados internacionales.",13/08/2025,03/09/2025,0,"Corfo/Comité de Desarrollo Productivo Regional financiará hasta $4.000.000.- (cuatro millones de pesos) de la Etapa de Diagnóstico, por proyecto.",Tener RUT chileno,0,0,Disponible,Corfo/Comité de Desarrollo Productivo Regional,Grupo de Empresas,https://corfo.cl/sites/cpp/convocatoria/red-mercados-araucania-segunda-convocatoria-diagnostico-2025/,https://corfo.cl/sites/cpp/convocatoria/red-mercados-araucania-segunda-convocatoria-diagnostico-2025/
,,,,,,,,,,,,,,,
Desarrollo de Inversión Productiva – Región de Coquimbo – Segunda Convocatoria 2025,CORFO,Disponible en los siguientes territorios,"El llamado a concurso se focalizará temáticamente, por lo que sólo podrán postular proyectos de inversión productiva con potencial de generación de externalidades positivas, contribución al crecimiento sostenible y la reactivación económica de la Región de Coquimbo, mediante la adquisición de activo fijo, habilitación de infraestructura productiva y/o equipamiento tecnológico en etapas relevantes del proceso productivo.",11/08/2025,01/09/2025,0,"Corfo financiará hasta el 60% del costo total de cada proyecto, de acuerdo con el tramo de inversión total del proyecto indicado en la resolución de focalización de esta convocatoria (revisar bases).",Tener RUT chileno,0,0,Disponible,Corfo,Disponible,https://corfo.cl/sites/cpp/convocatoria/dip-coquimbo-segunda-convocatoria-2025/,https://corfo.cl/sites/cpp/convocatoria/dip-coquimbo-segunda-convocatoria-2025/
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE COQUIMBO – 3° CONV. 2025 – TERRITORIOS VIENTO NORTE,CORFO,Disponible en los siguientes territorios,"El llamado a concurso se focalizará temáticamente, por lo que sólo podrán postular proyectos de inversión productiva con potencial de generación de externalidades positivas, contribución al crecimiento sostenible y la reactivación económica de las comunas de Vicuña, Andacollo, La Higuera, Río Hurtado, mediante la adquisición de activo fijo, habilitación de infraestructura productiva y/o equipamiento tecnológico en etapas relevantes del proceso productivo.",11/08/2025,01/09/2025,0,"Corfo financiará hasta el 70% del costo total de cada proyecto, con tope de $50.000.000.","Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x, etc.",0,0,Disponible en los siguientes territorios,"Corfo cofinanciará hasta el 70% del costo total de cada proyecto, con tope de $50.000.000.",Disponible en los siguientes territorios,https://corfo.cl/sites/cpp/convocatoria/dip-coquimbo-tercera-convocatoria-territorios-viento-norte-2025/,https://corfo.cl/sites/cpp/convocatoria/dip-coquimbo-tercera-convocatoria-territorios-viento-norte-2025/cover
"Red Asociativa – 1° CONV. ZONAL 2025 DESARROLLO SILVOAGROPECUARIO SUSTENTABLE, ETAPA DIAGNÓSTICO",CORFO,Disponible en los siguientes territorios,"Red Asociativa busca contribuir al aumento de la competitividad de un grupo de al menos 3 empresas, para mejorar su oferta de valor y acceder a nuevos mercados, a través del cofinanciamiento de proyectos asociativos que incorporen mejoras en gestión, productividad, sustentabilidad e innovación.",nan,nan,0,"Corfo cofinanciará hasta un 70% del costo total de la Etapa de Diagnóstico, con un tope de $8.000.000, por proyecto.",Tener RUT chileno,0,0,Disponible en los siguientes territorios,"Corfo cofinanciará hasta un 70% del costo total de la Etapa de Diagnóstico, con un tope de $8.000.000, por proyecto.",Red Asociativa,https://corfo.cl/sites/cpp/convocatoria/red-asociativa-desarrollo-silvoagropecuario-sustentable-diagnostico-2025/,nan
,,,,,,,,,,,,,,,
"Red Proveedores – 1° CONV. ZONAL 2025 DESARROLLO SILVOAGROPECUARIO SUSTENTABLE, ETAPA DESARROLLO",CORFO,Disponible en los siguientes territorios,"‘Red Proveedores’ permite fortalecer la relación Proveedor—Demandante, promueve el trabajo colaborativo para mejorar la oferta de valor de las empresas y así mejorar la competitividad de la Cadena productiva. El objetivo es desarrollar e implementar un plan de actividades que reduzca brechas de las empresas proveedoras y de la cadena productiva, basadas en el trabajo colaborativo.",nan,nan,0,"Corfo cofinanciará hasta un 50% del costo total de la Etapa de Desarrollo, con un tope de $50.000.000, por proyecto.",Tener RUT chileno,0,0,Disponible,Corfo,Proyectos de Desarrollo,https://corfo.cl/sites/cpp/convocatoria/red-proveedores-desarrollo-silvoagropecuario-sustentable-desarrollo-2025/,nan
"RED TECNOLÓGICA GTT – 1° CONV. ZONAL 2025 DESARROLLO SILVOAGROPECUARIO SUSTENTABLE, ET. DESARROLLO",CORFO,Disponible en los siguientes territorios,"Red Tecnológica GTT+ busca que grupos de entre 10 y 15 empresas puedan, a través del intercambio entre pares y asistencias técnicas, cerrar brechas tecnológicas y de gestión, incorporando herramientas y mejores prácticas productivas, fomentando la construcción de alianzas entre los empresarios, mejorar su productividad y posición competitiva.",nan,nan,0,"Corfo otorgará, para la ejecución de la Etapa de Desarrollo un cofinanciamiento de hasta un 80% del costo total de la Etapa con un tope para cada año de ejecución de $2.000.000.- (dos millones de pesos), por cada beneficiario que integra el proyecto.",Tener RUT chileno,0,0,Disponible en los siguientes territorios,"Corfo otorgará, para la ejecución de la Etapa de Desarrollo un cofinanciamiento de hasta un 80% del costo total de la Etapa con un tope para cada año de ejecución de $2.000.000.- (dos millones de pesos), por cada beneficiario que integra el proyecto.",Beneficiario,https://corfo.cl/sites/cpp/convocatoria/red-tecnologica-gtt-desarrollo-silvoagropecuario-sustentable-desarrollo-2025/,nan
"RED TECNOLÓGICA GTT – 1° CONV. ZONAL 2025 DESARROLLO SILVOAGROPECUARIO SUSTENTABLE, ET. DIAGNÓSTICO",CORFO,Disponible en los siguientes territorios,"Red Tecnológica GTT+ busca que grupos de entre 10 y 15 empresas puedan, a través del intercambio entre pares y asistencias técnicas, cerrar brechas tecnológicas y de gestión, incorporando herramientas y mejores prácticas productivas, fomentando la construcción de alianzas entre empresas para ampliar el capital relacional, mejorar su productividad y posición competitiva.",nan,nan,0,"Corfo financiará hasta $3.500.000 para la Etapa de Diagnóstico, por proyecto.",Tener RUT chileno,0,0,Disponible en los siguientes territorios,Corfo,Disponible en los siguientes territorios,https://corfo.cl/sites/cpp/convocatoria/red-tecnologica-gtt-desarrollo-silvoagropecuario-sustentable-diagnostico-2025/,nan
Invertiendo Plataformas de Crowdfunding,CORFO,Disponible en los siguientes territorios,"Se busca apoyar la organización, fortalecimiento y operación de las plataformas de financiamiento colectivo de equity a través de la diversificación de la inversión y el aumento de alternativas de acceso a capitales para emprendimientos con potencial de crecimiento y desarrollar negocios innovadores. Además de entregar acceso y alternatiavs para invertir en emprendimientos con potencial de ser dinámicos.",30/07/2025,08/09/2025,0,"Hasta el 70,0% del costo total del proyecto considerando un monto máximo de hasta $50.000.000.",Tener RUT chileno,0,0,Apertura,Inversión,Innovación,https://corfo.cl/sites/cpp/convocatoria/invierte-plataformas-crowdfunding-2025/,https://corfo.cl/sites/cpp/convocatoria/invierte-plataformas-crowdfunding-2025/foto.jpg
Invertiendo Redes de Ángeles,CORFO,Disponible en los siguientes territorios,"Se busca apoyar en la organización, fortalecimiento y operación de las Redes, a través de la preparación y fidelización de inversionistas y emprendedores, logrando mayor transferencia de capacidades entre ellos, fomentar la inversión privada y mejorar sus condiciones de éxito y crecimiento.",30/07/2025,08/09/2025,0,"Hasta el 70,0% del costo total del proyecto considerando un monto máximo de hasta $50.000.000.",Tener RUT chileno,0,5000000,Disponible,Inversión en Capital de Riesgo,Inversión en Redes de Ángeles,https://corfo.cl/sites/cpp/convocatoria/invierte-redes-angeles-2025/,https://corfo.cl/sites/cpp/convocatoria/invierte-redes-angeles-2025/foto.jpg
Creación de Centro Tecnológico de Biotecnología para la Sostenibilidad,CORFO,Disponible en los siguientes territorios,"La convocatoria tiene como objetivo crear y/o fortalecer infraestructura tecnológica y capital humano avanzado mediante la implementación de un Centro Tecnológico de Biotecnología para la Sostenibilidad, en la región de Los Ríos, que permita que empresas y emprendedores desarrollen soluciones sostenibles de alto valor y potencial de mercado con base en biotecnología.",28/07/2025,30/09/2025,0,"Cofinanciamiento:  Etapa 1: cofinanciamiento hasta 4.000.000.000.- (cuatro mil millones de pesos) con un tope de hasta el 80,00% del costo total de la primera etapa. Los participantes deberán aportar el financiamiento restante, de los cuales al menos 5,00% del costo total de la Etapa deberá ser mediante aportes nuevos o pecuniarios.",Tener RUT chileno,0,0,En evaluación,Cofinanciamiento,Emprendimiento,https://corfo.cl/sites/cpp/convocatoria/creacion-centro-tecnologico-biotecnologia-sostenibilidad-los-rios-2025/,https://corfo.cl/sites/cpp/convocatoria/creacion-centro-tecnologico-biotecnologia-sostenibilidad-los-rios-2025/foto
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE O’HIGGINS – 1° CONVOCATORIA 2025 ACELERA,CORFO,Disponible en los siguientes territorios,"Apoyar la materialización de proyectos de inversión productiva con potencial de generación de externalidades positivas, mediante el otorgamiento de un cofinanciamiento para la adquisición de activo fijo, habilitación de infraestructura productiva y capital de trabajo.",25/07/2025,25/08/2025,0,"Financiamiento: El cofinanciamiento por cada proyecto será de hasta 60% del costo total del proyecto, con un tope de $20.000.000.- (veinte millones de pesos).",Tener RUT chileno,0,2000000,En evaluación,Financiamiento,Disponible en los siguientes territorios,https://corfo.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-ohiggins-1ra-acelera-2025/,https://corfo.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-ohiggins-1ra-acelera-2025/
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE VALPARAÍSO – 1° CONVOCATORIA 2025 ACELERA,CORFO,Disponible en los siguientes territorios,"Apoyar la materialización de proyectos de inversión productiva con potencial de generación de externalidades positivas, mediante el otorgamiento de un cofinanciamiento para la adquisición de activo fijo, habilitación de infraestructura productiva y capital de trabajo.",25/07/2025,25/08/2025,0,"Financiamiento: El cofinanciamiento por cada proyecto será de hasta 60% del costo total del proyecto, con un tope de $20.000.000.- (veinte millones de pesos).",Tener RUT chileno,0,2000000,En evaluación,Financiamiento,Disponible en los siguientes territorios,https://corfo.cl/sites/cpp/convocatoria/dip-valparaiso-1ra-convocatoria-acelera-2025/,https://corfo.cl/sites/cpp/convocatoria/dip-valparaiso-1ra-convocatoria-acelera-2025/foto
"Convocatoria para la Creación de un Centro Tecnológico para la Economía Circular, en la Región de Los Lagos",CORFO,"Disponible en los siguientes territorios: Lagos, Los Lagos,  Los Altos","La convocatoria tiene como objetivo principal la creación y puesta en marcha de un ""Centro Tecnológico para la Economía Circular, en la Región de Los Lagos"" que permita crear, habilitar y/o fortalecer infraestructura y equipamiento tecnológico para el desarrollo de soluciones basadas en modelos de economía circular, abordando las brechas y oportunidades que enfrenta la región de Los Lagos, relacionadas con la prevención en generación de residuos, así como también, de estrategias de reparación, remanufactura, reutilización, reciclaje y disposición final de residuos generados por las actividades productivas, con el fin de transitar hacia un modelo de desarrollo económico circular.",22/07/2025,30/09/2025,30,Cofinanciamiento hasta $9.700.000.000 (nueve mil setecientos millones de pesos) en tres etapas.,"Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa X, etc.",0,0,En evaluación,Cofinanciamiento,Apertura,https://corfo.cl/sites/cpp/convocatoria/creacion-centro-tecnologico-economia-circular-los-lagos-2025/,https://corfo.cl/sites/cpp/convocatoria/creacion-centro-tecnologico-economia-circular-los-lagos-2025/foto
CREACIÓN DE UN CENTRO TECNOLÓGICO DE MANUFACTURA AVANZADA E INDUSTRIA 4.0,CORFO,Disponible en los siguientes territorios,"La implementación de un centro tecnológico para la innovación y sofisticación de la industria de manufactura en la Región de Biobío se enmarca en el desafío ""Diversificación Productiva Sostenible"" del DPS al buscar impulsar un desarrollo sostenible en términos sociales y ambientales, mediante la incorporación de mayor conocimiento y tecnología a las actividades productivas. Específicamente la iniciativa está vinculada con el lineamiento que busca impulsar la transformación digital e inteligencia artificial para acelerar el desarrollo productivo sostenible.",04/07/2025,30/09/2025,30,Cofinanciamiento hasta $8.630.004.000 (ocho mil seiscientos treinta millones cuatro mil pesos) en tres etapas.,Tener RUT chileno,0,0,En evaluación,Cofinanciamiento,Innovación,https://corfo.cl/sites/cpp/convocatoria/centro-tecnologico-manufactura-avanzada-industria-biobio-2025/,https://corfo.cl/sites/cpp/convocatoria/centro-tecnologico-manufactura-avanzada-industria-biobio-2025/
Programa de Difusión Tecnológica CDPR Atacama 2025,Apertura,Disponible en los siguientes territorios,"El objetivo es contribuir al cierre de brechas de productividad del sector empresarial vinculados a la agroindustria, minería, turismo, eficiencia hídrica y energética, de preferencia Pymes, de la región de Atacama, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar la competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común.",nan,nan,12,"InnovaChile cofinanciará hasta el 70,0% del costo total del proyecto, con un tope de hasta $90.000.000.- (noventa millones de pesos).",Tener RUT chileno,0,90000000,En evaluación,InnovaChile,Pymes,https://corfo.cl/sites/cpp/convocatoria/programa-difusion-tecnologica-cdpr-atacama-2025/,https://corfo.cl/sites/cpp/convocatoria/programa-difusion-tecnologica-cdpr-atacama-2025/cover
Anillos Industriales para el fomento a la demanda y encadenamiento productivo en la región del Biobío,CORFO,Disponible en los siguientes territorios,"La presente convocatoria busca la promoción de iniciativas orientadas a fomentar la producción y demanda de hidrógeno cuenta con un potencial importante para impulsar el desarrollo de esta industria en el país, además de contribuir al cumplimiento de los compromisos de Chile en el marco del Acuerdo de París para alcanzar la carbono-neutralidad al 2050. En virtud de lo señalado, se focalizará esta convocatoria en la temática consistente en ""Anillos Industriales para el fomento a la demanda y encadenamiento productivo en la región del Biobío"", con el objetivo de fomentar el desarrollo productivo, el desarrollo de capacidades, la transferencia de tecnología, innovación, y otros procesos habilitantes para hidrógeno verde y sus derivados en el país.",22/04/2025,28/08/2025,28,"Se cofinanciará hasta el 60% del costo total de cada proyecto, con un tope de hasta USD$5.000.000.- (Cinco millones de dólares), el que se entregará en una o más cuotas, según determine Corfo, a título de anticipo.",Tener RUT chileno,0,5000000,Disponible,"Se cofinanciará hasta el 60% del costo total de cada proyecto, con un tope de hasta USD$5.000.000.- (Cinco millones de dólares), el que se entregará en una o más cuotas, según determine Corfo, a título de anticipo.",,https://corfo.cl/sites/cpp/convocatoria/anillos-industriales-fomento-encadenamiento-productivo-biobio/,https://corfo.cl/sites/cpp/convocatoria/anillos-industriales-fomento-encadenamiento-productivo-biobio/foto
Red Proveedores – REGIÓN METROPOLITANA – 1° CONVOCATORIA 2025 ETAPA DESARROLLO,CORFO,Disponible en los siguientes territorios,"Si tienes interés en fortalecer tu cadena productiva, promoviendo el trabajo colaborativo con proveedores actuales o nuevos, fortaleciendo la relación estratégica Proveedores – Demandante, para mejorar la oferta de valor y el acceso a nuevos mercados, te invitamos a postular a Red Proveedores.",nan,nan,0,"Financiamiento: El Comité de Desarrollo Productivo Regional cofinanciará hasta un 50% del costo total de la Etapa de Desarrollo, con un tope para cada periodo de $60.000.000.- (sesenta millones de pesos), por proyecto, cuando éste sea sustentable. En caso contrario, Corfo cofinanciará hasta un 40% del costo total de la Etapa de Desarrollo, con un tope para cada periodo de $50.000.000.- (cincuenta millones de pesos), por proyecto.",Tener RUT chileno,0,0,nan,financiamiento,desarrollo,https://corfo.cl/sites/cpp/convocatoria/red-proveedores-metropolitana-1ra-convocatoria-desarrollo-2025/,https://corfo.cl/sites/cpp/convocatoria/red-proveedores-metropolitana-1ra-convocatoria-desarrollo-2025/
Entidades Patrocinadoras para Semilla Inicia y Semilla Expanda,CORFO,Disponible en los siguientes territorios,"El presente instrumento tiene por objetivo regular la incorporación de determinadas entidades a la ""Nómina de Entidades Patrocinadoras para Semilla Inicia"" y a la ""Nómina de Entidades Patrocinadoras para Semilla Expande"", respectivamente, así como sus obligaciones y el proceso de evaluación periódica de las mismas durante la ejecución de los proyectos.",nan,nan,0,nan,Tener RUT chileno,0,0,Disponible,nan,nan,https://corfo.cl/sites/cpp/convocatoria/entidades_patrocinadoras_para_semilla_inicia_y_semilla_expande/,nan
Innova Alta Tecnología – Eureka,CORFO,Disponible en los siguientes territorios,"Apoyamos innovaciones intensivas en I+D, que enfrenten alta incertidumbre tecnológica y que apunten a escalamientos de alto potencial de comercialización nacional o global, fortaleciendo las capacidades de I+D+i en las empresas.",nan,nan,0,InnovaChile cofinanciará los proyectos que resulten adjudicados con un tope de hasta $1.000.000.000.- (mil millones de pesos).,Tener RUT chileno,0,0,Disponible,InnovaChile,Empresas,https://corfo.cl/sites/cpp/convocatoria/innova_alta_tecnologia_eureka/,https://corfo.cl/sites/cpp/convocatoria/innova_alta_tecnologia_eureka/foto.jpg
