RUT,Error,RazonSocial,TipoSubtipo,Actividades,RutConfirmado
608060006,,CASA DE MONEDA DE CHILE S.A.,Persona Juridica Comercial 214 - Sociedades Anonimas Abiertas,181109 - Otras Actividades de Impresion N.C.P. 181200 - Actividades de Servicios Relacionadas con La Impresion 259900 - Fabricacion de Otros Productos Elaborados de Metal N.C.P. 469000 - Venta Al Por Mayor No Especializada 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.,60.806.000-6
609050004,,SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,Instituciones Fiscales 517 - Org. Administracion Publica,"841100 - Actividades de La Administracion Publica En General 910100 - Actividades de Bibliotecas y Archivos 910200 - Actividades de Museos, Gestion de Lugares y Edificios Historicos",60.905.000-4
609100001,,UNIVERSIDAD DE CHILE,Instituciones Fiscales 517 - Org. Administracion Publica,471990 - Otras Actividades de Venta Al Por Menor En Comercios No Especializados N.C.P. 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 853110 - Enseñanza Superior En Universidades Publicas 861010 - Actividades de Hospitales y Clinicas Publicas,60.910.000-1
609110007,,UNIVERSIDAD DE SANTIAGO DE CHILE,Instituciones Fiscales 517 - Org. Administracion Publica,"262000 - Fabricacion de Computadores y Equipo Periferico 464905 - Venta Al Por Mayor de Libros 476101 - Venta Al Por Menor de Libros En Comercios Especializados 561000 - Actividades de Restaurantes y de Servicio Movil de Comidas 581100 - Edicion de Libros 601000 - Transmisiones de Radio 602000 - Programacion y Transmisiones de Television 681012 - Compra, Venta y Alquiler (excepto Amoblados) de Inmuebles 821900 - Fotocopiado, Preparacion de Documentos y Otras Actividades Especializadas de Apoyo de Oficina 853110 - Enseñanza Superior En Universidades Publicas 862021 - Centros Medicos Privados (establecimientos de Atencion Ambulatoria)",60.911.000-7
609110066,,UNIVERSIDAD DEL BIO BIO,Instituciones Fiscales 517 - Org. Administracion Publica,853110 - Enseñanza Superior En Universidades Publicas 855000 - Actividades de Apoyo A La Enseñanza,60.911.006-6
609210001,,UNIVERSIDAD DE VALPARAISO,Instituciones Fiscales 517 - Org. Administracion Publica,"011306 - Cultivo de Hortalizas y Melones 014909 - Cria de Otros Animales N.C.P. 325001 - Actividades de Laboratorios Dentales 464905 - Venta Al Por Mayor de Libros 476101 - Venta Al Por Menor de Libros En Comercios Especializados 476103 - Venta Al Por Menor de Articulos de Papeleria y Escritorio En Comercios Especializados 619090 - Otras Actividades de Telecomunicaciones N.C.P. 681012 - Compra, Venta y Alquiler (excepto Amoblados) de Inmuebles 702000 - Actividades de Consultoria de Gestion 853110 - Enseñanza Superior En Universidades Publicas 869010 - Actividades de Laboratorios Clinicos y Bancos de Sangre 960100 - Lavado y Limpieza, Incluida La Limpieza En Seco, de Productos Textiles y de Piel",60.921.000-1
610040683,Sin resultados,,,,
611010214,,ACADEMIA POLITECNICA MILITAR,Instituciones Fiscales 517 - Org. Administracion Publica,842200 - Actividades de Defensa,61.101.021-4
61211000,Sin resultados,,,,
613100008,,INSTITUTO DE FOMENTO PESQUERO,Instituciones Fiscales 517 - Org. Administracion Publica,722000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Sociales y Las Humanidades,61.310.000-8
613110003,,INSTITUTO FORESTAL,Instituciones Fiscales 517 - Org. Administracion Publica,024009 - Otros Servicios de Apoyo A La Silvicultura N.C.P. 721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 722000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Sociales y Las Humanidades 803000 - Actividades de Investigacion (incluye Actividades de Investigadores y Detectives Privados),61.311.000-3
613120009,,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,Instituciones Fiscales 517 - Org. Administracion Publica,012801 - Cultivo de Especias 016100 - Actividades de Apoyo A La Agricultura 722000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Sociales y Las Humanidades,61.312.000-9
61704000,Sin resultados,,,,
618080005,,AGUAS ANDINAS S A,Persona Juridica Comercial 214 - Sociedades Anonimas Abiertas,"360000 - Captacion, Tratamiento y Distribucion de Agua 712009 - Otros Servicios de Ensayos y Analisis Tecnicos (excepto Actividades de Plantas de Revision Tecnica)",61.808.000-5
619686004,,CENTRO DEL AGUA PARA ZONAS ARIDAS Y SEMIARIDAS DE AMERICA LATINA,Instituciones Fiscales 517 - Org. Administracion Publica,721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 722000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Sociales y Las Humanidades 960909 - Otras Actividades de Servicios Personales N.C.P.,61.968.600-4
619805305,,UNIVERSIDAD DE O'HIGGINS,Instituciones Fiscales 516 - Org. Educacion Superior,853110 - Enseñanza Superior En Universidades Publicas,61.980.530-5
64330292,Sin resultados,,,,
64337688,Sin resultados,,,,
65002334,Sin resultados,,,,
650028449,,FUNDACION PATRIMONIO NUESTRO,Org. Sin Fines de Lucro 813 - Fundacion,949909 - Actividades de Otras Asociaciones N.C.P.,65.002.844-9
650030354,,ASOCIACION GREMIAL DE PRODUCTORES DE OVINOS DE LA NOVENA REGION - OVINOS ARAUCAN,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,702000 - Actividades de Consultoria de Gestion 949909 - Actividades de Otras Asociaciones N.C.P.,65.003.035-4
650034244,,FUNDACION SNP PATAGONIA SUR,Org. Sin Fines de Lucro 813 - Fundacion,"011306 - Cultivo de Hortalizas y Melones 475100 - Venta Al Por Menor de Telas, Lanas, Hilos y Similares En Comercios Especializados 477102 - Venta Al Por Menor de Prendas y Accesorios de Vestir En Comercios Especializados 477396 - Venta Al Por Menor de Recuerdos, Artesanias y Articulos Religiosos En Comercios Especializados 721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 722000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Sociales y Las Humanidades 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.003.424-4
650140761,Sin resultados,,,,
65015715,Sin resultados,,,,
650164067,,FUNDACION SENDERO DE CHILE,Org. Sin Fines de Lucro 813 - Fundacion,"702000 - Actividades de Consultoria de Gestion 803000 - Actividades de Investigacion (incluye Actividades de Investigadores y Detectives Privados) 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.016.406-7
650175484,,PEQUENOS Y MEDIANOS INDUSTRIALES MADEREROS DEL BIO BIO A.G.,Org. Sin Fines de Lucro 815 - Asoc. Gremial,949909 - Actividades de Otras Asociaciones N.C.P.,65.017.548-4
650181492,,ASOCIACION GREMIAL DE CANALES REGIONALES DE TELEVISION DE SENAL ABIERTA DE CHILE,Org. Sin Fines de Lucro 815 - Asoc. Gremial,619090 - Otras Actividades de Telecomunicaciones N.C.P. 731001 - Servicios de Publicidad Prestados Por Empresas 942000 - Actividades de Sindicatos,65.018.149-2
650195086,,FEDERACION DE EMPRESAS DE TURISMO DE CHILE - FEDERACION GREMIAL,Org. Sin Fines de Lucro 815 - Asoc. Gremial,"949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas 949909 - Actividades de Otras Asociaciones N.C.P.",65.019.508-6
650222784,,FUNDACION URBANISMO SOCIAL,Org. Sin Fines de Lucro 813 - Fundacion,702000 - Actividades de Consultoria de Gestion 889000 - Otras Actividades de Asistencia Social Sin Alojamiento 949909 - Actividades de Otras Asociaciones N.C.P.,65.022.278-4
650245601,,ASOC CHILENA DE ORGANIZACIONES DE FERIAS LIBRES ASOF A G,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,949909 - Actividades de Otras Asociaciones N.C.P.,65.024.560-1
650251504,,FUNDACION BANIGUALDAD,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,"649900 - Otras Actividades de Servicios Financieros, Excepto Las de Seguros y Fondos de Pensiones N.C.P. 854909 - Otros Tipos de Enseñanza N.C.P. 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas 949909 - Actividades de Otras Asociaciones N.C.P.",65.025.150-4
650262166,,FUNDACION PROCULTURA,Org. Sin Fines de Lucro 813 - Fundacion,"476101 - Venta Al Por Menor de Libros En Comercios Especializados 581100 - Edicion de Libros 854909 - Otros Tipos de Enseñanza N.C.P. 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.026.216-6
650263669,Sin resultados,,,,
650269551,,ASOCIACION GREMIAL DE EMPRESAS DE LA CIRUELA DESHIDRATADA,Org. Sin Fines de Lucro 815 - Asoc. Gremial,702000 - Actividades de Consultoria de Gestion 949901 - Actividades de Centros de Madres 990000 - Actividades de Organizaciones y Organos Extraterritoriales,65.026.955-1
650276531,,ASOCIACION GREMIAL CHILENA DE DESARROLLADORES DE VIDEOJUEGOS,Org. Sin Fines de Lucro 815 - Asoc. Gremial,941100 - Actividades de Asociaciones Empresariales y de Empleadores,65.027.653-1
650290771,,"VISION VALDIVIA,CAPITAL NAUTICA DEL PACIFICO SUR-ASOCIACION GREMIAL",Org. Sin Fines de Lucro 815 - Asoc. Gremial,949909 - Actividades de Otras Asociaciones N.C.P.,65.029.077-1
650308484,,AGENCIA CHILENA DE EFICIENCIA ENERGETICA,Org. Sin Fines de Lucro 813 - Fundacion,"702000 - Actividades de Consultoria de Gestion 721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 749009 - Otras Actividades Profesionales, Cientificas y Tecnicas N.C.P. 854902 - Servicios Personales de Educacion",65.030.848-4
650308921,,FUNDACION SERVICIO JESUITA A MIGRANTES,Org. Sin Fines de Lucro 813 - Fundacion,"949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.030.892-1
650324900,,FUND JUVENTUD EMPRENDEDORA,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,854909 - Otros Tipos de Enseñanza N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.,65.032.490-0
650331923,,FUNDACION FRAUNHOFER CHILE RESEARCH,Org. Sin Fines de Lucro 813 - Fundacion,"721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.033.192-3
650345738,,ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO CORPORACION DE DESARROLLO PHOENIX BR,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,383001 - Recuperacion y Reciclamiento de Desperdicios y Desechos Metalicos 383002 - Recuperacion y Reciclamiento de Papel 383009 - Recuperacion y Reciclamiento de Otros Desperdicios y Desechos N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.,65.034.573-8
650348397,,SOCIEDAD GEOGRAFICA DE DOCUMENTACION ANDINA,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,"476101 - Venta Al Por Menor de Libros En Comercios Especializados 479100 - Venta Al Por Menor Por Correo, Por Internet y Via Telefonica 581100 - Edicion de Libros 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.",65.034.839-7
650348680,,CORPORACION CULTIVA,Org. Sin Fines de Lucro 814 - Corporacion,"021002 - Silvicultura y Otras Actividades Forestales (excepto Explotacion de Viveros Forestales) 562900 - Suministro Industrial de Comidas Por Encargo, Concesion de Servicios de Alimentacion 661903 - Empresas de Asesoria y Consultoria En Inversion Financiera, Sociedades de Apoyo Al Giro 702000 - Actividades de Consultoria de Gestion 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.",65.034.868-0
650348915,,AGENCIA REGIONAL DE DESARROLLO PRODUCTIVO DE LA ARAUCANIA,Org. Sin Fines de Lucro 814 - Corporacion,702000 - Actividades de Consultoria de Gestion,65.034.891-5
650349784,,"ASOCIACION GREMIAL DE PROPIETARIOS, TENEDORES Y USUARIOS DE TIERRAS PRIVADAS Y D",Org. Sin Fines de Lucro 815 - Asoc. Gremial,949909 - Actividades de Otras Asociaciones N.C.P.,65.034.978-4
650351282,Sin resultados,,,,
650359720,Sin resultados,,,,
65038265,Sin resultados,,,,
65038802,Sin resultados,,,,
650410394,,ASOCIACION DE ARQUITECTOS Y PROFESIONALES POR EL PATRIMONIO DE VALPARAISO PLAN,"Org. Sin Fines de Lucro 811 - Junta de Vecinos, Org. Comunitaria",791100 - Actividades de Agencias de Viajes 949909 - Actividades de Otras Asociaciones N.C.P.,65.041.039-4
650413180,,FUNDACION GRANDES VALORES,Org. Sin Fines de Lucro 813 - Fundacion,"949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.041.318-0
650418204,,ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO SANTA MARIA,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,"479100 - Venta Al Por Menor Por Correo, Por Internet y Via Telefonica 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.041.820-4
650421396,,FUNDACION GANAMOS TODOS,Org. Sin Fines de Lucro 813 - Fundacion,"949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas 949909 - Actividades de Otras Asociaciones N.C.P.",65.042.139-6
650429044,,CORPORACION REGIONAL DE DESARROLLO DE LA REGION DE TARAPACA,Org. Sin Fines de Lucro 814 - Corporacion,"702000 - Actividades de Consultoria de Gestion 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 900001 - Servicios de Produccion de Obras de Teatro, Conciertos, Espectaculos de Danza, Otras Prod. Escenicas 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.042.904-4
650462130,,ASOCIACION GREMIAL DE EMPRENDEDORES EN CHILE A.G,Org. Sin Fines de Lucro 815 - Asoc. Gremial,731001 - Servicios de Publicidad Prestados Por Empresas 949909 - Actividades de Otras Asociaciones N.C.P.,65.046.213-0
650505573,,ORGANIZACIÓN NO GUBERNAMENTAL DE DESARROLLO LA RUTA SOLAR EN LIQUIDACIÓN,Org. Sin Fines de Lucro 814 - Corporacion,731001 - Servicios de Publicidad Prestados Por Empresas 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.,65.050.557-3
650521935,,FUNDACION IMPULSORA DE UN NUEVO SECTOR EN LA ECONOMIA SISTEMA B,Org. Sin Fines de Lucro 813 - Fundacion,476101 - Venta Al Por Menor de Libros En Comercios Especializados 949909 - Actividades de Otras Asociaciones N.C.P.,65.052.193-5
650523954,,ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO CANALES U ONG CANALES,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,"854909 - Otros Tipos de Enseñanza N.C.P. 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.052.395-4
650531965,,"ASOCIACION NACIONAL DE EMPRESAS ESCOS, ANESCO CHILE A.G.",Org. Sin Fines de Lucro 815 - Asoc. Gremial,702000 - Actividades de Consultoria de Gestion 711002 - Empresas de Servicios de Ingenieria y Actividades Conexas de Consultoria Tecnica 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 853202 - Enseñanza Superior En Centros de Formacion Tecnica,65.053.196-5
650534875,,"CENTRO DE INVESTIGACION DE POLIMEROS AVANZADOS, CIPA",Org. Sin Fines de Lucro 814 - Corporacion,"383009 - Recuperacion y Reciclamiento de Otros Desperdicios y Desechos N.C.P. 702000 - Actividades de Consultoria de Gestion 712009 - Otros Servicios de Ensayos y Analisis Tecnicos (excepto Actividades de Plantas de Revision Tecnica) 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.053.487-5
650544846,,CONSEJO DE INST. PROFESIONALES Y CENTROS DE FORMACION TECNICA ACRED. A.G,Org. Sin Fines de Lucro 815 - Asoc. Gremial,941100 - Actividades de Asociaciones Empresariales y de Empleadores 949909 - Actividades de Otras Asociaciones N.C.P.,65.054.484-6
650545095,,"PROPIETARIOS E INDUSTRIALES FORESTALES, DESARROLLANDO LA CADENA DE PRODUCCION DE",Org. Sin Fines de Lucro 815 - Asoc. Gremial,702000 - Actividades de Consultoria de Gestion,65.054.509-5
650580443,,FUNDACION INRIA CHILE,Org. Sin Fines de Lucro 813 - Fundacion,721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 803000 - Actividades de Investigacion (incluye Actividades de Investigadores y Detectives Privados),65.058.044-3
650597214,,INSTITUTO DE NEUROCIENCIA BIOMEDICA,Org. Sin Fines de Lucro 814 - Corporacion,721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 854909 - Otros Tipos de Enseñanza N.C.P. 869091 - Otros Servicios de Atencion de La Salud Humana Prestados Por Empresas,65.059.721-4
650604849,,ASOCIACION DE MUNICIPALIDADES PARQUE CORDILLERA,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,"024001 - Servicios de Forestacion A Cambio de Una Retribucion o Por Contrata 024009 - Otros Servicios de Apoyo A La Silvicultura N.C.P. 702000 - Actividades de Consultoria de Gestion 910300 - Actividades de Jardines Botanicos, Zoologicos y Reservas Naturales 949909 - Actividades de Otras Asociaciones N.C.P.",65.060.484-9
650604865,,FUNDACION DE BENEFICENCIA RECYCLAPOLIS,Org. Sin Fines de Lucro 813 - Fundacion,"731001 - Servicios de Publicidad Prestados Por Empresas 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.060.486-5
650612108,,FUND CIENTIFICA Y CULTURAL BIOCIENCIA,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria 803000 - Actividades de Investigacion (incluye Actividades de Investigadores y Detectives Privados) 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.,65.061.210-8
650623460,,CORPORACION PARA EL DESARROLLO DE MALLECO,Org. Sin Fines de Lucro 814 - Corporacion,949909 - Actividades de Otras Asociaciones N.C.P.,65.062.346-0
65063862,Sin resultados,,,,
650646665,,CORPORACION CULTURAL ACONCAGUA SUMMIT,Org. Sin Fines de Lucro 814 - Corporacion,741009 - Otras Actividades Especializadas de Diseño N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.,65.064.666-5
65064672,Sin resultados,,,,
650654935,,CORPORACION MUNICIPAL DE LA CULTURA Y LAS ARTES DE SAN ANTONIO,Org. Sin Fines de Lucro 814 - Corporacion,"949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.065.493-5
650661257,,AGRUPACION ACERCA REDES MARIQUINA,Org. Sin Fines de Lucro 818 - Otra O.S.F.L.,"661903 - Empresas de Asesoria y Consultoria En Inversion Financiera, Sociedades de Apoyo Al Giro 749001 - Asesoria y Gestion En La Compra o Venta de Pequeñas y Medianas Empresas 854909 - Otros Tipos de Enseñanza N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.",65.066.125-7
650665791,,ASOCIACION GREMIAL DE RENOVADORES Y RECAUCHADORES DE NEUMATICOS DE CHILE,Org. Sin Fines de Lucro 815 - Asoc. Gremial,702000 - Actividades de Consultoria de Gestion 731001 - Servicios de Publicidad Prestados Por Empresas 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 949909 - Actividades de Otras Asociaciones N.C.P.,65.066.579-1
650694422,,ASOCIACION INDIGENA AYMARA SUMA JUIRA DE CARIQUIMA,Org. Sin Fines de Lucro 815 - Asoc. Gremial,"107909 - Elaboracion de Otros Productos Alimenticios N.C.P. 472109 - Venta Al Por Menor En Comercios Especializados de Huevos, Confites y Productos Alimenticios N.C.P.",65.069.442-2
650707044,,FUNDACION DEPORTE LIBRE,Org. Sin Fines de Lucro 813 - Fundacion,"854100 - Enseñanza Deportiva y Recreativa 854909 - Otros Tipos de Enseñanza N.C.P. 931909 - Otras Actividades Deportivas N.C.P. 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",65.070.704-4
650718593,,FUNDACION PARA EL TRABAJO UNIVERSIDAD ARTURO PRAT,Org. Sin Fines de Lucro 813 - Fundacion,"702000 - Actividades de Consultoria de Gestion 850022 - Enseñanza Primaria, Secundaria Cientifico Humanista y Tecnico Profesional Privada 853202 - Enseñanza Superior En Centros de Formacion Tecnica",65.071.859-3
650725166,,CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES,Org. Sin Fines de Lucro 814 - Corporacion,711002 - Empresas de Servicios de Ingenieria y Actividades Conexas de Consultoria Tecnica 712009 - Otros Servicios de Ensayos y Analisis Tecnicos (excepto Actividades de Plantas de Revision Tecnica) 721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria,65.072.516-6
